Registered Provider Name,Outlet Name,Address,Phone,Email,Website,Open Hours,NDIS Category,X,Y
Diverse Gem Care Pty Ltd,Diverse Gem Care,"12 Dimboola Road, Broadmeadows, VIC 3047",0411 365 625,hamzeh.j@diversegemcare.com.au,www.diversegemcare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9170614,-37.6826691
Encompass House Ltd.,Encompass House - Seaford,"34-36 Heversham Drive, Seaford, VIC 3198",03 9776 9641,enquiries@encompasshouse.org.au,www.encompasshouse.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.141282,-38.112852
Bj Care Services Pty Ltd,Vale House,"2 Wetherby Road, Wyndham Vale, VIC 3024",0415 089 807,admin@bjcareservices.com.au,www.bjcareservices.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,144.5914834,-37.8444723
Melbourne Health & Care Services,Melbourne Health & Care Services Carlton,"71 Victoria Crescent, Abbotsford, VIC 3067",1800 849 062,melbournehealthcareservices@gmail.com,https://www.melbournehealthcare.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9987505,-37.8069558
Nextt,Nextt,"501 Swanston Street, Melbourne, VIC 3000",0404 866 582,adipietrantonio@nextt.com.au,www.nextt.com.au,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.9615586,-37.8067053
South West Healthcare,Lismore Community Health,"High Street, Lismore, VIC 3324",03 5558 3000,lismore2@swh.net.au,www.southwesthealthcare.com.au/swh,Monday: 9AM-5PM,Daily Living & Family Support Services,143.34002,-37.9531792
Aurora Support Services Inc.,Aurora Support Services - Frontier,"76 Edwardes Street, Reservoir, VIC 3073",03 9401 1844,info@aurorasupportservices.org.au,www.aurorasupportservices.org.au,"Monday: 9AM-3PM, Tuesday: 9AM-3PM, Wednesday: 9AM-3PM, Thursday: 9AM-3PM, Friday: 9AM-3PM",Daily Living & Family Support Services,145.002894,-37.715803
Housetide Support Services,Wodonga SIL House,"54a Charles Street, Wodonga, VIC 3690",02 6048 0888,daniel.etherden@housetidess.com.au,www.housetidess.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,146.8816636,-36.1317628
Rsa Disability Support Services,RSA Thornbury,"Arlington Aged Care, 3 Collins Street, Thornbury, VIC 3071",1800 772 669,info@rsaust.com.au,www.rsasupport.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.002247,-37.754519
Priority Disability Services Pty Ltd,Priority Disability Services - Main,"7 Thomas Holmes Street, Maribyrnong, VIC 3032",0478 659 904,priorityds1@gmail.com,www.priorityds.org,"Monday: 10AM-4PM, Tuesday: 10AM-4PM, Wednesday: 10AM-4PM, Thursday: 10AM-4PM, Friday: 10AM-4PM",Daily Living & Family Support Services,144.8926474,-37.7836982
