Outlet Name,Address,Phone,Email,Website,Open Hours,NDIS Category,Y,X
Biala Peninsula Mornington,"1 Elizabeth Street, Mornington, VIC 3931",03 5975 1820,mfox@bialapeninsula.org.au,https://www.bialapeninsula.org.au,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 8AM-4PM",Professional Therapy for Autistic Children,-38.2249749,145.0430693
Sound It Out Speech,"Unit 27a Parliament Of Victoria, 797 Plenty Road, South Morang, VIC 3752",03 9100 3410,info@sounditout.com.au,www.sounditout.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-1PM, Sunday: 9AM-10AM",Professional Therapy for Autistic Children,-37.6517556,145.0859519
Peninsula Plus - Frankston,"Level 1, 20 Davey Street, Frankston, VIC 3199",03 5975 1500,admin@penplus.com.au,www.peninsulaplus.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-38.1465138,145.1216338
healthAbility Support Coordination East,"41-43 Carrington Road, Box Hill, VIC 3128",03 9430 3123,ndis@healthability.org.au,www.healthability.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.820247,145.121398
North East Melbourne Area,"5 Ethel Street, Thornbury, VIC 3071",1300 558 368,corporate@genu.org.au,www.genu.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.754184,144.998973
Diverse Care Australia,"15 Palermo Street, Greenvale, VIC 3059",0415 483 600,sema.yildiz@yahoo.com,www.diversecareaus.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Professional Therapy for Autistic Children,-37.6244847,144.882083
Yooralla's Support Coord Outer East,"U 5 796 High St, Kew East, VIC 3102",1800 966 725,intake@yooralla.com.au,www.yooralla.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.7965221,145.0575636
The Bridge Connects Macleod,"88 Mcnamara Street, Macleod, VIC 3085",03 9459 8175,csteventon@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-10PM, Saturday: 9AM-6PM, Sunday: 9AM-6PM",Professional Therapy for Autistic Children,-37.7253822,145.0683747
Second Skin,"70 New Dookie Road, Shepparton, VIC 3630",03 8637 0297,melbourne@secondskin.com.au,www.secondskin.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-36.3673176,145.4230963
Noahs Ark - Craigieburn,"65-75 Interlink Drive, Craigieburn, VIC 3064",1800 819 140,hello@noahsarkinc.org.au,www.noahsarkinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.6032092,144.9467429
Gippsland Physiotherapy Group,"95 Queen Street, Warragul, VIC 3820",03 5623 6989,warragul@gpg.com.au,www.physiochoice.com.au,"Monday: 8AM-7PM, Tuesday: 8AM-7PM, Wednesday: 8AM-7PM, Thursday: 8AM-7PM, Friday: 8AM-6PM, Saturday: 8AM-1PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-38.1636765,145.9319537
Next Door Psychology,"10 Bridge Street, Werribee, VIC 3030",01 0079 5292,admin@nextdoorpsych.com.au,www.nextdoorpsych.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.9036287,144.6616261
Calvary Health Care Bethlehem,"476 Kooyong Road, Caulfield South, VIC 3162",03 9834 9380,bethlehemndis@calvarycare.org.au,www.bethlehem.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8969028,145.0132125
Maxvale Physiotherapy,"Office 2, 981 North Road, Murrumbeena, VIC 3163",03 8759 1623,maxvale.physio@gmail.com,www.maxvalephysio.com.au,"Monday: 9AM-7PM, Tuesday: 9AM-7PM, Wednesday: 9AM-7PM, Thursday: 9AM-7PM, Friday: 9AM-7PM, Saturday: 9AM-7PM",Professional Therapy for Autistic Children,-37.9071992,145.0681358
Cameron Wellness Centre,"855 Plenty Road, South Morang, VIC 3752",1800 000 292,dsardellis@cameronwellnesscentre.com.au,www.cameronwellnesscentre.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-37.6489788,145.089981
Livfit Physio Mornington,"Suite 3, 11 Railway Grove, Mornington, VIC 3931",03 5976 8447,n.rickard@livfitphysio.com.au,https://livfitphysio.com.au/,"Monday: 7AM-8PM, Tuesday: 7AM-8PM, Wednesday: 7AM-8PM, Thursday: 7AM-8PM, Friday: 7AM-8PM",Professional Therapy for Autistic Children,-38.2176364,145.0379535
