Education_Sector,School_Name,Address_Line,Address_Town,Address_State,Address_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Catholic,St Mary's College for the Deaf,10A Riddell Road,WANTIRNA SOUTH,VIC,3152,03 9800 2733,367,Knox (C),145.24279,-37.8779
Catholic,DOXA School Bendigo,118 Hargreaves Street,BENDIGO,VIC,3550,03 5442 8140,262,Greater Bendigo (C),144.28602,-36.75554
Catholic,"Borinya, Wangaratta Community Partnership",30 College Street,WANGARATTA,VIC,3676,03 5721 2174,670,Wangaratta (RC),146.30898,-36.33783
Catholic,MacKillop Specialist School,25-33 Oxford Street,WHITTINGTON,VIC,3219,03 5248 2557,275,Greater Geelong (C),144.38711,-38.17432
Catholic,St Joseph's,385 Queensberry Street,NORTH MELBOURNE,VIC,3051,03 9269 6900,460,Melbourne (C),144.95494,-37.80384
Government,Montague Continuing Education Centre,100 Montague Street,South Melbourne,VIC,3205,03 9690 3535,590,Port Phillip (C),144.94974,-37.8306
Government,Victorian College For The Deaf,597 St Kilda Road,Melbourne,VIC,3004,03 9510 1706,460,Melbourne (C),144.98231,-37.84977
Government,Nepean Special School,33 Klauer St,Seaford,VIC,3198,03 9786 9111,217,Frankston (C),145.14233,-38.11943
Government,Belmore School,49 Stroud Street,Balwyn,VIC,3103,03 9859 8762,111,Boroondara (C),145.08114,-37.80428
Government,Croxton Special School,159-165 Beaconsfield Parade,Northcote,VIC,3070,03 9482 5482,189,Darebin (C),144.9874,-37.764
Government,Kalianna Special School,48-68 Prouses Road,Bendigo,VIC,3550,03 5442 1311,262,Greater Bendigo (C),144.27865,-36.73783
Government,Ballarat Specialist School,25 Gillies Street North,Lake Gardens,VIC,3355,03 5334 1302,57,Ballarat (C),143.8187,-37.55244
Government,Nelson Park School,Libau Avenue,Bell Park,VIC,3215,03 5278 3620,275,Greater Geelong (C),144.3377,-38.11424
Government,Rosamond Special School,276 Ballarat Road,Braybrook,VIC,3019,03 9311 1511,433,Maribyrnong (C),144.85541,-37.77964
Government,Heatherwood School,370-380 Springvale Road,Donvale,VIC,3111,03 9842 8319,421,Manningham (C),145.17804,-37.80034
Government,Glenroy Specialist School,208 Hilton St,Glenroy,VIC,3046,03 9304 2263,525,Merri-bek (C),144.92053,-37.69936
Government,Emerson School,1430 Heatherton Road,Dandenong,VIC,3175,03 9791 8900,267,Greater Dandenong (C),145.2081,-37.96986
Government,Hume Valley School,15- 41 Koroit Avenue,Broadmeadows,VIC,3047,03 9309 3477,327,Hume (C),144.92701,-37.6724
Government,Glenallen School,7 Allen Street,Glen Waverley,VIC,3150,03 9561 1966,497,Monash (C),145.16175,-37.88836
Government,Jackson School,40-46 Mulhall Drive,St Albans,VIC,3021,03 9366 4322,118,Brimbank (C),144.81418,-37.75602
Government,Vermont South Special School,22-30 Livingstone Road,Vermont South,VIC,3133,03 9802 8199,698,Whitehorse (C),145.1806,-37.85114
Government,Concord School,411 Grimshaw Street,Bundoora,VIC,3083,03 9467 3972,66,Banyule (C),145.07501,-37.702
Government,Baringa Special School,47 Staff Street,Moe,VIC,3825,03 5127 1744,381,Latrobe (C),146.2572,-38.19174
Government,Naranga School,14 Naranga Crescent,Frankston,VIC,3199,03 9788 2222,217,Frankston (C),145.163,-38.14716
Government,Ashwood School,Montpellier Road,Ashwood,VIC,3147,03 9808 7444,497,Monash (C),145.10716,-37.85966
Government,Bulleen Heights School,49-61 Pleasant Road,Bulleen,VIC,3105,03 9850 7122,421,Manningham (C),145.09506,-37.76329
Government,Ascot Vale Heights School,1 Tasma Street,Ascot Vale,VIC,3032,03 9370 8906,506,Moonee Valley (C),144.93236,-37.77682
Government,Yarrabah School,23 Mill Street,Aspendale,VIC,3195,03 9580 0384,343,Kingston (C),145.09669,-38.01399
Government,Frankston Special Developmental School,Sassafras Drive,Frankston,VIC,3199,03 9789 6844,217,Frankston (C),145.1702,-38.1433
Government,Waratah Special Developmental School,228 Banksia Street,Bellfield,VIC,3081,03 9474 8700,66,Banyule (C),145.04074,-37.75629
Government,Port Phillip Specialist School,Cnr Nott & Pool Streets,Port Melbourne,VIC,3207,03 9646 0855,590,Port Phillip (C),144.94197,-37.83679
Government,Cobram and District Specialist School,4-8 Hume Street,Cobram,VIC,3644,03 5872 1643,490,Moira (S),145.65158,-35.92582
Government,Monash Special Developmental School,15-25 Academy Avenue,Wheelers Hill,VIC,3150,03 9239 7400,497,Monash (C),145.1658,-37.90698
Government,Banmira Specialist School,2 Verney Road,Shepparton,VIC,3630,03 5821 8185,283,Greater Shepparton (C),145.41529,-36.36744
Government,Diamond Valley Special Developmental School,14-24 Brentwick Drive,Greensborough,VIC,3088,03 9432 1022,571,Nillumbik (S),145.11165,-37.68675
Government,Melton Specialist School,159-211 Coburns Road,Melton,VIC,3337,03 9743 4966,465,Melton (C),144.56822,-37.68057
Government,Springvale Park Special Developmental School,13-15 Sandown Road,Springvale,VIC,3171,03 9546 7666,267,Greater Dandenong (C),145.15431,-37.94936
Government,Warringa Park School,81-85 Warringa Crescent,Hoppers Crossing,VIC,3029,03 9749 5774,726,Wyndham (C),144.68759,-37.88404
Government,Sale and District Specialist School,333 Princes Highway,Sale,VIC,3850,03 5144 5644,681,Wellington (S),147.07075,-38.08164
Government,Croydon Special Developmental School,71-95 Belmont Road East,Croydon South,VIC,3136,03 9725 4933,441,Maroondah (C),145.28078,-37.81563
Government,Furlong Park School For Deaf Children,58 - 84 Furlong Road,Sunshine North,VIC,3020,03 9312 3244,118,Brimbank (C),144.8271,-37.76144
Government,Jennings Street School,4 Jennings Street,Laverton,VIC,3028,03 9360 9322,311,Hobsons Bay (C),144.77363,-37.85635
Government,Sunbury And Macedon Ranges Specialist School,127-143 Circular Drive,Sunbury,VIC,3429,03 9744 4879,327,Hume (C),144.72933,-37.59602
Government,Northern School For Autism,16-18 Gertz Ave,Reservoir,VIC,3073,03 9462 5990,189,Darebin (C),145.02993,-37.70059
Government,Latrobe Special Developmental School,146 Liddiard Road,Traralgon,VIC,3844,03 5174 1956,381,Latrobe (C),146.55136,-38.20403
Government,Belvoir Wodonga Special Developmental School,54 Gayview Drive,West Wodonga,VIC,3690,02 6059 8987,717,Wodonga (C),146.85454,-36.12321
Government,Burwood East Special Developmental School,18 Manooka Street,Burwood East,VIC,3151,03 9803 4590,698,Whitehorse (C),145.14212,-37.8572
Government,Wangaratta District Specialist School,139 Appin Street,Wangaratta,VIC,3677,03 5721 7424,670,Wangaratta (RC),146.30016,-36.34379
Government,Peninsula Specialist College,25 Old White Hill Road,Dromana,VIC,3936,03 5987 2649,534,Mornington Peninsula (S),145.01011,-38.34184
Government,Dandenong Valley Special Developmental School,19-21 Victoria Road,Narre Warren,VIC,3805,03 9704 4800,161,Casey (C),145.296,-38.0076
Government,Mornington Special Developmental School,40 Robertson Drive,Mornington,VIC,3931,03 5975 6111,534,Mornington Peninsula (S),145.05718,-38.22611
Government,Bayside Special Developmental School,4 Genoa Street,Moorabbin,VIC,3189,03 9555 4155,343,Kingston (C),145.0568,-37.94336
Government,Yarra Ranges Special Developmental School,20 Burdap Drive,Mount Evelyn,VIC,3796,03 9736 2499,745,Yarra Ranges (S),145.38487,-37.77502
Government,Lake Colac School,413-437 Murray Street,Colac,VIC,3250,03 5231 1055,175,Colac-Otway (S),143.56641,-38.3359
Government,Mildura Specialist School,341-357 Deakin Avenue,Mildura,VIC,3500,03 5021 3311,478,Mildura (RC),142.14364,-34.19988
Government,Southern Autistic School,12 Margaretta Street,East Bentleigh,VIC,3165,03 9563 8139,231,Glen Eira (C),145.06208,-37.92672
Government,Coburg Special Developmental School,191 Urquhart Street,Coburg,VIC,3058,03 9354 4366,525,Merri-bek (C),144.97663,-37.74091
Government,Broadmeadows Special Developmental School,29 - 35 Dimboola Rd,Broadmeadows,VIC,3047,03 9302 1244,327,Hume (C),144.9141,-37.68165
Government,Sunshine Special Developmental School,1a Ivory Court,Sunshine,VIC,3020,03 9311 4804,118,Brimbank (C),144.81989,-37.80343
Government,Swan Hill Specialist School,27-33 Yana Street,Swan Hill,VIC,3585,03 5032 3683,661,Swan Hill (RC),143.54509,-35.34924
Government,Skene Street School Stawell,7-13 Skene Street,Stawell,VIC,3380,03 5358 2448,581,Northern Grampians (S),142.78383,-37.05767
Government,Horsham Special School,17 High Street North,Horsham,VIC,3400,03 5381 1475,319,Horsham (RC),142.18678,-36.70784
Government,Hampden P-12 School,36 Grayland Street,Cobden,VIC,3266,03 5595 1995,183,Corangamite (S),143.06466,-38.32356
Government,Merri River School,189 Wollaston Road,Warrnambool,VIC,3280,03 5561 1711,673,Warrnambool (C),142.48177,-38.35498
Government,Yarraville Special Developmental School,117 Blackwood Street,Yarraville,VIC,3013,03 9314 4919,433,Maribyrnong (C),144.88365,-37.81791
Government,Portland Bay School,77 Henty Street,Portland,VIC,3305,03 5523 2218,241,Glenelg (S),141.59756,-38.34633
Government,Hamilton Parklands School,15 Kerr Street,Hamilton,VIC,3300,03 5572 3077,626,Southern Grampians (S),142.02246,-37.72686
